Repo Name,File Name,Release Version,TLSH Hash,SHA256 Hash,Date Added
mimikatz,mimikatz.exe,2.2.0-20220919,T129552901A7E90098F2B79AB59EF29516DBB378D51834C30F02A88A5F1F73F519D29732,61c0810a23580cf492a6ba4f7654566108331e7a4134c968c2d6a05261b2d8a1,2024-12-06T06:58:02.965721+00:00
mimikatz,mimispool.dll,2.2.0-20220919,T12722E847F37401F8F46682F49B9B170BB8727940476692DF8A709B491D2A7D06A3F723,66928c3316a12091995198710e0c537430dacefac1dbe78f12a331e1520142bd,2024-12-06T06:58:02.968489+00:00
mimikatz,mimilib.dll,2.2.0-20220919,T198F25C4A83A110B5E9E2C27AD2B76A57FB7178111265078F7ABCC50A3F737A1763C702,aef6ce3014add838cf676b57957d630cd2bb15b0c9193cf349bcffecddbc3623,2024-12-06T06:58:02.970053+00:00
mimikatz,mimikatz.exe,2.2.0-20220919,T13735294177E64015F5B32AB16EF2AA11CE7BB9E21831D54F029C854F0AB3D819E79B33,94795fd89366e01bd6ce6471ff27c3782e2e16377a848426cf0b2e6baee9449b,2024-12-06T06:58:02.985238+00:00
mimikatz,mimispool.dll,2.2.0-20220919,T17D221926B3AC84B1E1FF1A352C6963231A76BE215FB202B70AD305586C740D2EF75763,05842de51ede327c0f55df963f6de4e32ab88f43a73b9e0e1d827bc70199eff0,2024-12-06T06:58:02.986500+00:00
mimikatz,mimilib.dll,2.2.0-20220919,T19DE22A115B140CF1FBE2123474AF3F22AA7D592449A509E7FE8F05990F597A2BB3A343,e60c210687e79347d06f9a144ee84417ba9ac4c1f303720f2fe4509734d670d6,2024-12-06T06:58:02.987577+00:00
mimikatz,mimilove.exe,2.2.0-20220919,T112B2D661AAF94125F2F21AB1FEF162028B737DD18931418F425C56CB1B73D8589ABB33,cc585d962904351ce1d92195b0fc79034dc3b13144f7c7ff24cd9f768b25e9ef,2024-12-06T06:58:02.988647+00:00
mimikatz,mimikatz.exe,2.2.0-20210810-2,T1FF551941A7E90098F2B79AB59EF19516DBB378D61834C30F02A8875B1F73F619D29332,912018ab3c6b16b39ee84f17745ff0c80a33cee241013ec35d0281e40c0658d9,2024-12-06T06:58:03.654238+00:00
mimikatz,mimispool.dll,2.2.0-20210810-2,T189E24B661F2459F5FD069EB092ED972F9D72B6C14981448BA42949CD2F433E43F3832E,96632f716df30af567da00d3624e245d162d0a05ac4b4e7cbadf63f04ca8d3da,2024-12-06T06:58:03.656234+00:00
mimikatz,mimilib.dll,2.2.0-20210810-2,T16C437C6A4B2014F1FD52CA75D2FA9A5BEE72B88115510A4F756CC18A2F733B13F3831A,d9770865ea739a8f1702a2651538f4f4de2d92888d188d8ace2c79936f9c2688,2024-12-06T06:58:03.657600+00:00
mimikatz,mimikatz.exe,2.2.0-20210810-2,T1CC35291177E64065F5B22AB06EF6A615CE77B9E21831D14F029C464F1FB3A809E3A733,e81a8f8ad804c4d83869d7806a303ff04f31cce376c5df8aada2e9db2c1eeb98,2024-12-06T06:58:03.677435+00:00
mimikatz,mimispool.dll,2.2.0-20210810-2,T16FD26B7A1F2848F2FE5B6F3061EC966B5E72AAC14D81454B711A05DE2F423E47F3422E,b016e0fb93032d4ab6f2fb2ec6388e3117442d836bed2fe38ae8b73d7b825c5e,2024-12-06T06:58:03.679475+00:00
