Repo Name,File Name,Release Version,TLSH Hash,SHA256 Hash,Date Added,Intel
AlessandroZ/LaZagne,Windows/laZagne.exe,1.3,T1A36633CAFA591CDEEA37293486E5E433B1369E13830B5A3AC6855DD32267F48B335344,b6b1115f75a124e4cf9dd776f13ed5883e1a3de96610c97645bed6770a541aec,be10bb45cef8dcc6869b921dd20884ae,2016-07-02T13:18:19Z,https://github.com/AlessandroZ/LaZagne
AlessandroZ/LaZagne,Windows/laZagne.exe,1.1,T111073383E96084FEC1B45633ACE4FA70D4632124575EEA57371E29632EEA26CFB7014D,82fdbbb6897d76ed4ac8e0d6341f31d2cedbcce43c219d27940f0092befeb56e,b87afca7a1175b7eb49b7c1eb6d58adf,2015-10-22T13:16:40Z,https://github.com/AlessandroZ/LaZagne
AlessandroZ/LaZagne,Linux-32bits/LaZagne-32bits,1.0,T1CA6733C599CAF0EAE11382F68D3AEF6E45659302B503C7B7B8DC4DDC82A3B96015F605,d4a8210278c3a442bd6c236f4dd9b7d59f015f4c1d21aee5feff044565f0f57f,N/A,2015-07-09T13:53:59Z,https://github.com/AlessandroZ/LaZagne
AlessandroZ/LaZagne,Linux-64bits/LaZagne-64bits,1.0,T1536733083327C1EFDB00D931847EE113561EA58926AFDEBE3A4D85742A0B5D97B2CF16,d2421efee7a559085550b5575e2301a7c2ed9541b9e861a23e57361c0cdbdbdb,N/A,2015-07-09T13:53:59Z,https://github.com/AlessandroZ/LaZagne
AlessandroZ/LaZagne,Windows/laZagne.exe,1.0,T1E9073397D244C8AED83EDA31A4919530A93B30719BAEC3A377475E5257F63D9AF30203,e3a61e9cf23cd2dcb54056aa1daa5381bd9b8d3a7e5d38c8bbd14a9e2c368a2d,b87afca7a1175b7eb49b7c1eb6d58adf,2015-07-09T13:53:59Z,https://github.com/AlessandroZ/LaZagne
AlessandroZ/LaZagne,Linux-32bits/LaZagne-32bits,0.9.1,T1786733C599CAF0EAE11386F68D3AEF6E45658302B503C7B7B8DC4DDC82A3B96015F605,b67f3f53b182150c72d73f15e4fffe3d6103163a5b3a073daec46f1457107e8b,N/A,2015-07-09T13:53:59Z,https://github.com/AlessandroZ/LaZagne
AlessandroZ/LaZagne,Linux-64bits/LaZagne-64bits,0.9.1,T1E26733083327C1EFDB00D931847EE113571EA58926AFDEBE3A4D85742A0B5D97B2CE16,d23707e0123732e03d156a0fd474a1384e1b3deee3235df9e96ff5d21a4d440c,N/A,2015-07-09T13:53:59Z,https://github.com/AlessandroZ/LaZagne
AlessandroZ/LaZagne,Windows/laZagne.exe,0.9.1,T1C9F6339AEEA05C3FF9AB473364B2CB3D26232411071995C56B0C18639AED3DD7F7114A,9c89a4750109bbf1362afe937daacbb55ef4aa9440f934c3175f0b07ce7845a0,b87afca7a1175b7eb49b7c1eb6d58adf,2015-07-09T13:53:59Z,https://github.com/AlessandroZ/LaZagne
AlessandroZ/LaZagne,Linux-32bits/LaZagne-32bits,0.9,T18F6733C599CAF0EAE11382F68D3AEF6E45659302B503C7B7B8DC4DDC82A3B96015F605,9d1f7c6740aa1efcd315ab8fc32b2e3bc87b6bf525c8694c48e9159db46ab1c7,N/A,2015-07-01T14:28:48Z,https://github.com/AlessandroZ/LaZagne
AlessandroZ/LaZagne,Linux-64bits/LaZagne-64bits,0.9,T1846733083327C1EFDB00D931847EE113571EA58926AFDEBE3A4D85742A0B5D97B2CE16,cdbac128583a478de88177c233b5fc54ba5e45064c7e7727d5148a9556a9894a,N/A,2015-07-01T14:28:48Z,https://github.com/AlessandroZ/LaZagne
AlessandroZ/LaZagne,Windows/laZagne.exe,0.9,T148F63396EE904C7FE99B0233A9B1C92E15237405135D66C12B4C18A3EEFE39DAF7114E,398ca467689d459a370ea4c1d454638feda4f75433b54a81de8f3c69719d9380,b87afca7a1175b7eb49b7c1eb6d58adf,2015-07-01T14:28:48Z,https://github.com/AlessandroZ/LaZagne
