Repo Name,File Name,Release Version,TLSH Hash,SHA256 Hash,Date Added
chisel,.PKGINFO,v1.10.1,T1D3D0A9B71A40C42E6C80A688BE70924DD371321AEBC8A9B004888800D418ABED27A811,8d6e66d772905767702d5abba774191fde828b058a9e732d5086cf7d5b240431,2024-12-06T07:06:03.063822+00:00
chisel,chisel,v1.10.1,T1FB962851F9CB00F6E9431A3054ABB23F67315D058B24EBD3EA147F2AF93BA91193621D,01354bbc3d48508cbf75dc75bb19d9517e31758ed473eb0cb4d268e2d21b596d,2024-12-06T07:06:03.201355+00:00
chisel,.PKGINFO,v1.10.1,T19FD023F3CE40902D6FC5E7C8B568564C5350269057468DF00848DC00C0A66DDD36D445,973dddb608ff5820ee02920ebac3482ec449804e2828a1d886d94162c6ca7047,2024-12-06T07:06:03.948850+00:00
chisel,chisel,v1.10.1,T1B2963907ECA544E8C0EDD6308A669263BB717C495B3027D72B60F7782F76BD06AB9350,0a76c28f5452dbbc146752d0b4e28b10779a337091f59650b94f5e938545572c,2024-12-06T07:06:04.082041+00:00
chisel,.PKGINFO,v1.10.1,T1D5D0A9BA0710802A6982A684EE24164A9AF222105F91C8B848A4A8228002EF9A98DD00,17304c85f21575c1a04e3a170d1682a6f86b94a31fcb3c6b0fe9d47ce6a523f3,2024-12-06T07:06:04.745603+00:00
chisel,chisel,v1.10.1,T16F965CD9BC1D7862DAC8BEB43B6441C47235FC499F81C7277614BBAEA8F23548F61260,c6f4a347d1b38fd2a52c3f4d508d86f62316006953d607db3f87bbdf1e60656a,2024-12-06T07:06:04.892300+00:00
chisel,.PKGINFO,v1.10.1,T1CDD0A97B4A1080AA6DC1AA88BA6481999AB922119BD49DB0029458008012DFE8E1E842,a036d2d71bc584cc5227a06a917530649eee7abe08a82ca4632a62c68e99d2b7,2024-12-06T07:06:05.510226+00:00
chisel,chisel,v1.10.1,T165961997B8924943C4E83637F8BE81C432A70EB99B9752665D04FE383EBE1D90E35744,51e0d46d9fccc65de69ac29cc627124d42508861a80c043c7cb25ee53145f6dd,2024-12-06T07:06:05.650512+00:00
chisel,.PKGINFO,v1.10.1,T19CD02376EF10D47D7EC8FD84F531015D56B12110575555E054D4A800C0145FD416B609,bbedd2466f89b7a18a41e1eaa417a34e737d708bbe253f495a3a06284ec645f4,2024-12-06T07:06:06.402863+00:00
chisel,chisel,v1.10.1,T1E2961897B8924952C4E43A7BF87D80C432A30EB99B97526A5D04FE3C3EBE5D90E35704,5a1952ad863561203eba548728c0d1e58b517e6221e91e989e0a933205084306,2024-12-06T07:06:06.544554+00:00
