Repo Name,File Name,Release Version,TLSH Hash,SHA256 Hash,Date Added
sliver,sliver-client_windows.exe,v1.5.42,T10E873A07F85149E4E5EDD13486254212BBB1BCB94B3033C76B60F6B42F7ABD85A7A360,b7f9eb0a95f3523aee8363c59e26a88bcf30d2160db862d4d167945ad342d777,2024-12-06T06:39:24.179952+00:00
sliver,sliver-client_windows.exe,v1.5.41,T128874A47F89149E4E5ADC134C6258216BBB17CA85B3073C76B20F6B42F3ABD45A7E360,85474d2a885a2dbe2dfd334d9d25fbf1079c1d88c857428e2e1cf3e59f2c0a9b,2024-12-06T06:39:25.846029+00:00
sliver,sliver-client_windows.exe,v1.5.40,T197874A47F89149E4E5ADC134C6258216BBB17CA85B3073C76B20F6B42F3ABD45A7E360,48359bfb6692ea45f075188b2b244fc8fcec4ef7e80d2c2eecae90d5c9cdd04b,2024-12-06T06:39:27.412498+00:00
sliver,sliver-client_windows.exe,v1.5.39,T1D4874A03F89149E4E5EDD13489265112BBB1BCB94B3033C76B20F6B52F7ABD45A7A360,8b4da3fc66c36752ab032c8d57a0df7caa530d07c3e9847582ff2d792768ff12,2024-12-06T06:39:28.802868+00:00
sliver,sliver-client_windows.exe,v1.5.38,T1E2874A47F89149E4E5ADD230C6259112BB71BCB94B3023D76A20F7B42F7AFD45A7A320,ad1117e7a6d3284f9ddc7f8ec841f72b759932d1467cffd9633af242f8f00798,2024-12-06T06:39:30.397975+00:00
sliver,sliver-client_windows.exe,v1.5.37,T122874A47F89549E4E5ADC230C5355222BB71BCA94B3037C76B20F6B42F3ABD45A7A360,93c574a4f1608cb5ecf7173e42d35c5a670c58c635e6a90252cd9a102d24e260,2024-12-06T06:39:31.788423+00:00
sliver,sliver-client_windows.exe,v1.5.36,T11A873907F89149E4E5ADD130862641627BB0BCB95B3033C76B60F7B42F7ABD45A7A360,e86f3bf9daab62a33014d63811a020cab6ebb0570a8cea4496b1ee586ad6c5bd,2024-12-06T06:39:33.361825+00:00
sliver,sliver-client_windows.exe,v1.5.35,T134773943F89149E4E5E9C130C9254262BBB17CB94B3063C76B20F6B46F7ABD45A7E360,cfcdad4c34f652853a157b3f5bf9f8748b5f74963ca41f32632bbd755c250882,2024-12-06T06:39:35.042268+00:00
sliver,sliver-client_windows.exe,v1.5.34,T152774A47F8A149E8E5E9D234C52A41127BB17CA94B3033C76720F7B42F7ABD45A7A360,5fb9f7c101e98f3fd5c011f47519f007fe5d19decf1ade2d36ed57f378b29042,2024-12-06T06:39:36.528376+00:00
sliver,sliver-client_windows.exe,v1.5.33,T132874903B44189E8E5ADD134C5298156BB707CB95B3023D73B20FAA92F7EBD45B7A360,c0cd3083f7015a42a6ceeaed3a49d889e899a1fb751fa952300e6f12669c0e4d,2024-12-06T06:39:38.033972+00:00
